"Referencia","Designação","Cor","Tamanho","EAN","PVP","Stock","Posição Grelha","Data da exportação"
"079291516-X","Maybach","691","3XL","3559625170537016","€48,07","57","2","2019-04-09 23:39:41"
"321998014-7","Chevrolet","517","3XL","3569976134032075","€43,11","18","3","2019-04-04 06:44:37"
"871131867-8","Volvo","952","3XL","3587952364095429","€44,28","36","2","2019-04-13 05:53:16"
"046500510-1","Mazda","831","XS","5534399909986176","€24,03","125","1","2019-04-03 16:14:13"
"997070958-5","Ford","811","3XL","5602222162649686","€63,62","114","3","2019-04-08 15:25:24"
"304408171-8","Nissan","838","3XL","56109703744040065","€3,51","73","1","2019-04-25 14:31:28"
"037058863-0","Fiat","375","L","3552087660564066","€9,71","51","2","2019-04-07 13:19:19"
"020372825-4","Volkswagen","223","2XL","6389573400007815","€52,69","120","1","2019-04-04 04:12:58"
"559593749-1","Volkswagen","755","M","3577609749916156","€9,40","30","1","2019-04-12 09:17:32"
"807401660-9","Volkswagen","850","XL","201890316038869","€54,52","87","1","2019-04-16 11:57:32"
"764834054-2","Chevrolet","376","XS","5108758712688202","€18,99","54","3","2019-04-14 00:42:34"
"884522987-4","Ford","114","3XL","5010126680145687","€79,91","136","3","2019-05-01 08:38:52"
"544223383-8","Saturn","72","XL","3587482973363067","€97,01","56","1","2019-04-06 01:02:52"
"092360085-X","Subaru","553","3XL","5602254353055076","€34,09","24","3","2019-04-09 19:59:33"
"099306172-9","Mitsubishi","372","M","4936295864520214945","€26,70","62","3","2019-04-10 06:18:07"
"712855701-6","Nissan","550","L","4917620088503445","€43,17","21","1","2019-04-08 05:55:36"
"383269799-3","Ford","804","2XL","3532559172878403","€31,50","85","2","2019-04-15 12:21:19"
"588441602-4","Volvo","72","XS","3567869952626387","€41,90","33","3","2019-04-03 11:17:28"
"910330889-8","Mazda","451","2XL","201400048840010","€68,79","39","1","2019-04-17 14:36:26"
"516988039-1","Isuzu","682","XS","3540942785166954","€2,58","51","3","2019-04-25 00:25:58"
"278009215-7","Lamborghini","100","L","3582955579035804","€4,54","140","2","2019-04-06 13:50:34"
"119437118-3","Chevrolet","574","2XL","3561874334993584","€9,38","102","2","2019-04-26 10:56:08"
"902070978-X","Chevrolet","222","S","3529588838000263","€53,20","117","2","2019-04-04 05:52:44"
"070330087-3","Saab","939","XS","3534864035808136","€45,12","41","2","2019-04-26 14:59:23"
"080231681-6","Mitsubishi","377","3XL","3574789228529655","€82,23","130","2","2019-04-27 15:34:56"
"785399140-1","Suzuki","370","M","36053806807902","€28,34","83","1","2019-04-15 19:17:05"
"657845331-8","Volvo","162","XL","5602250522562240","€42,77","23","2","2019-04-28 21:06:35"
"633689703-6","Ford","827","XL","3549497162949275","€29,53","97","2","2019-04-16 09:01:36"
"549630489-X","Scion","497","XS","5893725178691723952","€1,39","4","2","2019-05-01 19:54:34"
"038940966-9","Mercedes-Benz","149","XS","3545002393078458","€5,01","73","3","2019-04-11 18:54:02"
"308787576-7","Lincoln","284","L","3569500389901634","€93,12","130","1","2019-04-14 02:37:24"
"506080620-0","Porsche","292","S","3532513098481883","€92,09","10","3","2019-04-08 22:10:04"
"944772488-4","Chrysler","852","XS","5602248411669506","€25,19","58","1","2019-04-17 05:13:13"
"629231883-4","BMW","466","3XL","3536344129191408","€87,13","4","3","2019-04-23 07:30:34"
"639987504-8","Aston Martin","59","2XL","56022514694120227","€62,17","68","3","2019-04-25 00:58:12"
